title,description,skills,salary,experience,location,country,work_type,company,date_posted,all_skills_str,skill_count,cluster,cluster_name,dominant_topic,dominant_topic_name
Digital Marketing Specialist,"Email Marketing Specialists design and execute email marketing campaigns. They create email content, segment email lists, and analyze campaign performance to achieve marketing goals and engage subscribers.","Email marketing platforms (e.g., Mailchimp, Constant Contact) Email campaign creation and segmentation A/B testing and optimization Email deliverability and compliance Metrics tracking and analysis",$61K-$130K,1 to 14 Years,Praia,Cabo Verde,Temporary,BorgWarner,2022-01-31,compliance,1,2,Marketing & Architecture,0,Engineering & Systems
Market Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,$59K-$108K,1 to 9 Years,Monaco,Monaco,Temporary,Quest Diagnostics,2022-05-24,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
Mechanical Engineer,"Mechanical Design Engineers create and develop mechanical systems and components, from concept to manufacturing, ensuring functionality and safety.","Mechanical engineering CAD software (e.g., SolidWorks, AutoCAD) Finite element analysis Product development Prototyping",$63K-$102K,1 to 13 Years,Bratislava,Slovak Republic,Part-Time,Jones Financial (Edward Jones),2023-03-06,prototyping,1,2,Marketing & Architecture,0,Engineering & Systems
Chemical Engineer,"Monitor and maintain product quality standards, perform inspections, and implement quality control procedures.","Quality control processes Quality assurance standards (e.g., ISO) Statistical analysis Inspection techniques Documenting quality issues Root cause analysis Communication with production teams Problem-solving Attention to detail Technical knowledge",$63K-$106K,4 to 9 Years,Marigot,St. Martin (French part),Full-Time,United States Steel,2022-09-14,"communication, problem solving",2,2,Marketing & Architecture,3,UI/UX Design
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",$61K-$102K,2 to 15 Years,Gitega,Burundi,Intern,HSBC (Hongkong and Shanghai Banking Corporation),2022-05-27,"python, java",2,1,Software Development,5,Testing & Performance
Java Developer,"Java Backend Developers specialize in building the server-side components of software applications using Java. They work on database integration, server logic, and performance optimization to ensure efficient and reliable backend functionality.","Backend development RESTful APIs Database integration Java EE (Enterprise Edition) Performance optimization Version control (e.g., Git)",$65K-$91K,3 to 10 Years,Cockburn Town,Turks and Caicos Islands,Contract,Keurig Dr Pepper Inc.,2023-07-31,"git, database, java, backend",4,1,Software Development,2,Application Development
Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge",$58K-$112K,1 to 9 Years,Kigali,Rwanda,Full-Time,"Wirecard AG (Now defunct, due to bankruptcy)",2022-01-01,"communication, aws, infrastructure, azure, collaboration, cloud, security, problem solving, system administration",9,4,Network & Security,4,Network & Security
Mechanical Designer,"Design and optimize heating, ventilation, and air conditioning (HVAC) systems for buildings, focusing on energy efficiency and comfort.",HVAC system design Load calculations Energy efficiency AutoCAD or similar software Mechanical engineering principles Collaboration with architects and engineers Regulatory compliance Problem-solving Attention to detail Communication skills,$63K-$103K,4 to 11 Years,Honiara,Solomon Islands,Contract,Lululemon athletica,2022-04-23,"collaboration, communication, problem solving, compliance",4,2,Marketing & Architecture,0,Engineering & Systems
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$62K-$119K,3 to 8 Years,New Delhi,India,Temporary,MRF Limited,2021-10-07,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$64K-$120K,1 to 8 Years,Muscat,Oman,Contract,Westlake,2023-05-11,"infrastructure, security, network security",3,4,Network & Security,4,Network & Security
Mechanical Designer,"Design and develop innovative products, from concept to production, ensuring usability, functionality, and aesthetics.","Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)",$61K-$96K,3 to 13 Years,Roseau,Dominica,Temporary,Suning.com,2022-09-22,"communication, wireframing, adobe, collaboration, sketch, problem solving, prototyping, user research, creativity",9,2,Marketing & Architecture,0,Engineering & Systems
Front-End Engineer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting",$65K-$124K,5 to 14 Years,Tunis,Tunisia,Part-Time,Cholamandalam Investment and Finance Company,2023-03-21,"react, javascript, frontend, angular",4,1,Software Development,2,Application Development
Product Designer,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.",Industrial design principles CAD and 3D modeling Prototyping and testing,$60K-$91K,0 to 15 Years,Podgorica,Montenegro,Full-Time,Emerson Electric,2022-05-07,prototyping,1,0,Design & UI/UX,2,Application Development
Software Engineer,"DevOps Engineers focus on automating and streamlining the development and deployment processes. They work to improve collaboration between development and IT operations, implementing tools and practices for continuous integration and continuous delivery (CI/CD).","Automation and scripting (e.g., Python, Bash) Continuous Integration/Continuous Deployment (CI/CD) Containerization (e.g., Docker, Kubernetes) Infrastructure as Code (e.g., Terraform, Ansible) Cloud platforms (e.g., AWS, Azure, GCP) Monitoring and troubleshooting skills",$59K-$119K,3 to 12 Years,Apia,Samoa,Intern,Hargreaves Lansdown,2022-10-25,"gcp, aws, docker, infrastructure, devops, azure, bash, collaboration, cloud, terraform, kubernetes, python, ansible",13,2,Marketing & Architecture,3,UI/UX Design
Web Developer,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",$62K-$94K,4 to 8 Years,Nassau,"Bahamas, The",Full-Time,BAE Systems,2022-08-30,"communication, backend, infrastructure, database, sql, mongodb, python, node",8,1,Software Development,2,Application Development
Research Analyst,"A Market Research Analyst gathers and analyzes data to provide insights into market trends, consumer behavior, and competitive landscapes. They help businesses make informed decisions.","Market research methodologies Data collection and analysis Consumer behavior analysis Competitor analysis Survey design and analysis Statistical analysis software (e.g., SPSS, SAS) Data visualization Trend analysis Report writing Communication skills Attention to detail",$65K-$111K,0 to 11 Years,Sucre (de jure),Bolivia,Temporary,Mahindra & Mahindra Financial Services,2022-01-20,"communication, data visualization",2,3,Data & Analytics,1,Data & Business Analytics
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$55K-$96K,4 to 13 Years,Tunis,Tunisia,Temporary,Activision Blizzard,2022-08-06,"infrastructure, communication, problem solving",3,3,Data & Analytics,2,Application Development
Chemical Analyst,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,$64K-$111K,2 to 10 Years,Cockburn Town,Turks and Caicos Islands,Contract,Bharat Electronics Limited,2022-09-03,problem solving,1,2,Marketing & Architecture,5,Testing & Performance
Web Developer,"Backend Web Developers build and maintain the server-side logic and infrastructure required for web applications. They work on data storage, APIs, and server communication to support the functionality of web applications.","Server-side programming (e.g., Node.js, Python) Database management (e.g., SQL, MongoDB)",$60K-$95K,2 to 13 Years,Zagreb,Croatia,Temporary,Jackson Financial,2022-01-22,"communication, backend, infrastructure, database, sql, mongodb, python, node",8,1,Software Development,2,Application Development
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$63K-$111K,4 to 9 Years,Cockburn Town,Turks and Caicos Islands,Contract,Rockwell Automation,2023-08-13,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Software Engineer,"A Backend Developer is tasked with building and maintaining the server-side logic and database infrastructure of web applications. They work on the core functionality, data storage, and server communication to ensure the application runs smoothly and efficiently.","Proficiency in one or more backend programming languages (e.g., Java, Python, Node.js, Ruby) API development Database management (SQL or NoSQL) Server management and deployment Security best practices Knowledge of web frameworks (e.g., Express, Django)",$59K-$103K,5 to 8 Years,Tallinn,Estonia,Intern,Exxon Mobil Corporation,2023-05-26,"backend, communication, ruby, infrastructure, database, sql, django, java, nosql, express, security, python, node",13,1,Software Development,2,Application Development
Chemical Analyst,"As a Research Chemist, you will engage in scientific research and experimentation to discover and develop new chemical compounds or processes. Your work may involve designing experiments, analyzing data, and publishing research findings. Your role contributes to the advancement of scientific knowledge and may have applications in various industries.",Research chemistry Experimental design Data interpretation Chemical synthesis Research protocols Scientific writing Problem-solving skills,$57K-$82K,5 to 9 Years,Monaco,Monaco,Full-Time,Lear,2022-10-21,problem solving,1,2,Marketing & Architecture,5,Testing & Performance
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$65K-$88K,4 to 10 Years,Luxembourg,Luxembourg,Temporary,Watsco,2022-07-29,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$64K-$96K,5 to 13 Years,Paris,France,Part-Time,Cardinal Health,2022-02-07,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
Network Analyst,"Network Performance Analysts monitor and optimize network performance. They collect and analyze network data, identify issues, and implement solutions to enhance network speed, reliability, and efficiency.","Network performance analysis Network monitoring tools (e.g., Wireshark) Troubleshooting Capacity planning Data analysis Network protocols",$61K-$99K,3 to 12 Years,Chisinau,Moldova,Temporary,"Spirit Airlines, Inc.",2023-02-14,"data analysis, network monitoring",2,4,Network & Security,4,Network & Security
SEO Analyst,"As an SEO Content Strategist, your primary responsibility is to develop and execute content strategies that enhance our online presence. You will conduct keyword research, optimize website content, and collaborate with the marketing team to improve search engine rankings and drive organic traffic. Your role involves staying updated with SEO trends and implementing best practices to boost our websites visibility and engagement.",SEO (Search Engine Optimization) Content strategy Keyword research Content optimization Content planning Analytics and reporting,$56K-$120K,0 to 9 Years,Bissau,Guinea-Bissau,Intern,China National Chemical Corporation (ChemChina),2022-03-05,"analytics, reporting",2,2,Marketing & Architecture,3,UI/UX Design
Java Developer,"Java Software Engineers develop and maintain software applications using the Java programming language. They write code, debug applications, and collaborate with cross-functional teams to deliver high-quality software solutions.","Java programming Java frameworks (e.g., Spring) Object-oriented design Code debugging Software development Problem-solving skills",$59K-$125K,4 to 12 Years,Belmopan,Belize,Contract,China Mobile,2023-09-03,"spring, problem solving, java",3,1,Software Development,2,Application Development
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$60K-$127K,5 to 15 Years,Oslo,Norway,Intern,Dollar Tree,2022-03-16,analytics,1,2,Marketing & Architecture,3,UI/UX Design
Graphic Designer,"Web Graphic Designers create visually appealing graphics, images, and layouts for websites. They work closely with web developers and UI/UX designers to ensure that web content is aesthetically pleasing, on-brand, and engaging to users.","Graphic design tools (e.g., Adobe Creative Suite) Web design principles User interface (UI) design Visual communication Typography Creativity and artistic skills",$65K-$83K,5 to 10 Years,Hanoi,Vietnam,Intern,Industrial and Commercial Bank of China (ICBC),2023-03-12,"communication, graphic design, user interface, adobe, creativity",5,0,Design & UI/UX,3,UI/UX Design
Systems Engineer,"As a Cloud Systems Engineer, you will be responsible for designing, implementing, and managing cloud infrastructure solutions. You will work with cloud platforms like AWS, Azure, or GCP to build scalable and reliable systems. Your role involves optimizing cloud resources, ensuring security, and troubleshooting issues to maintain high system availability and performance.","Cloud systems engineering Cloud infrastructure (e.g., AWS, Azure) DevOps practices Automation Security in the cloud Disaster recovery Scalability",$55K-$102K,3 to 10 Years,Copenhagen,Denmark,Temporary,UnitedHealth Group,2022-03-29,"gcp, aws, devops, infrastructure, azure, cloud, security",7,2,Marketing & Architecture,4,Network & Security
Quality Assurance Analyst,"Test Automation Engineers automate testing processes using scripts and tools. They design and maintain automated test suites to streamline testing efforts, improve efficiency, and enhance software quality.","Test automation frameworks and tools Scripting and programming languages (e.g., Python, Java) Continuous integration and continuous testing (CI/CT) Test script development and maintenance Test environment setup and management",$58K-$125K,2 to 8 Years,Georgetown,Guyana,Contract,Avnet,2023-04-10,"python, java",2,2,Marketing & Architecture,5,Testing & Performance
Software Tester,An Automation Tester uses automated testing tools to verify the functionality and performance of software applications. They create and execute automated test scripts.,"Test automation tools (e.g., Selenium, Appium) Scripting languages (e.g., Python, Java) Test framework development Continuous integration tools Test data management",$61K-$93K,2 to 15 Years,Accra,Ghana,Full-Time,GlaxoSmithKline,2023-02-19,"python, java",2,1,Software Development,5,Testing & Performance
Java Developer,"Java Web Application Developers create web applications using Java technologies. They develop user interfaces, integrate backend systems, and ensure the functionality and security of web applications to provide a seamless user experience.","Web application development Java web frameworks (e.g., Servlets, JSP) Frontend integration User authentication Security protocols Code documentation",$55K-$98K,1 to 12 Years,Managua,Nicaragua,Intern,Franklin Resources,2023-03-08,"frontend, backend, user interface, documentation, java, security",6,1,Software Development,2,Application Development
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$59K-$97K,4 to 9 Years,Douglas,Isle of Man,Intern,Continental AG,2022-11-02,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Network Engineer,"Wireless Network Engineers design, implement, and maintain wireless network solutions. They optimize wireless connectivity, troubleshoot issues, and ensure reliable and secure wireless communications.",Wireless network design and architecture Wi-Fi standards and protocols RF (Radio Frequency) planning and optimization Wireless security protocols Troubleshooting wireless network issues,$57K-$89K,0 to 8 Years,Vilnius,Lithuania,Contract,Keurig Dr Pepper,2023-04-21,"communication, wireless, security, network design",4,4,Network & Security,4,Network & Security
Data Engineer,"A Big Data Engineer develops and manages big data solutions, including data storage, processing, and analysis platforms, to extract valuable insights and support data-driven decisions.","Big data technologies (Hadoop, Spark, etc.) Data processing and analysis Distributed computing",$65K-$92K,5 to 11 Years,Bern,Switzerland,Part-Time,Vertex Pharmaceuticals,2023-05-07,"spark, hadoop, big data",3,3,Data & Analytics,1,Data & Business Analytics
Investment Analyst,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,$57K-$107K,4 to 15 Years,Ottawa,Canada,Temporary,Iluka Resources,2023-04-08,,0,3,Data & Analytics,1,Data & Business Analytics
IT Support Specialist,"Help Desk Support Specialists provide technical assistance and support to end-users, resolving IT issues and ensuring smooth operations.",Technical troubleshooting Customer service and communication Ticketing system usage Basic IT knowledge Problem-solving and critical-thinking skills,$62K-$94K,0 to 15 Years,San Marino,San Marino,Temporary,HDFC Ltd,2023-06-28,"critical thinking, communication, problem solving",3,3,Data & Analytics,2,Application Development
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$61K-$123K,2 to 8 Years,"Malabo (de jure),",Equatorial Guinea,Intern,O'Reilly Automotive,2022-05-05,"database, sql, data modeling, security, problem solving",5,5,Database & Systems,4,Network & Security
Network Technician,"Network Support Specialists provide technical support for computer networks. They troubleshoot issues, maintain network infrastructure, and ensure reliable network performance.",Network troubleshooting IT support Network configuration Technical knowledge Problem-solving,$59K-$97K,4 to 12 Years,Kinshasa,Democratic Republic Of Congo,Temporary,CSL Limited,2023-02-13,"infrastructure, problem solving",2,4,Network & Security,4,Network & Security
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$56K-$97K,0 to 11 Years,Riyadh,Saudi Arabia,Full-Time,Asian Paints,2021-12-05,analytics,1,2,Marketing & Architecture,0,Engineering & Systems
Software Tester,A Performance Tester assesses the performance and scalability of software applications. They conduct load and stress testing to identify bottlenecks and optimize performance.,"Performance testing methodologies Load testing tools (e.g., JMeter) Test script development Performance profiling and analysis Bottleneck identification",$57K-$126K,0 to 15 Years,Kabul,Afghanistan,Part-Time,PayPal Holdings,2023-07-20,,0,1,Software Development,5,Testing & Performance
Back-End Developer,An API Developer creates and maintains application programming interfaces (APIs) that enable data exchange between different software applications or systems.,"API design and development RESTful API knowledge Security protocols (OAuth, JWT)",$58K-$113K,1 to 9 Years,The City of Hamilton,Bermuda,Full-Time,Taylor Morrison Home,2022-08-07,security,1,1,Software Development,2,Application Development
Data Engineer,"An ETL Developer specializes in designing and implementing Extract, Transform, Load (ETL) processes to move and transform data between systems, supporting data integration and analytics.","ETL (Extract, Transform, Load) processes Data integration SQL and scripting languages",$63K-$82K,3 to 9 Years,AsunciÃ³n,Paraguay,Full-Time,UFP Industries,2022-08-19,"analytics, etl, sql",3,2,Marketing & Architecture,3,UI/UX Design
Graphic Designer,"Print Graphic Designers design graphics and layouts for printed materials such as brochures, posters, and packaging. They use their creativity and design skills to visually communicate messages and information effectively in printed form.","Print design software (e.g., Adobe InDesign, Illustrator) Layout and composition Print production processes Color theory and management Attention to detail Print industry knowledge",$63K-$107K,2 to 10 Years,Vientiane,Lao PDR,Intern,WHSmith,2023-04-01,"creativity, adobe, illustrator",3,0,Design & UI/UX,3,UI/UX Design
Research Analyst,A Data Analyst Researcher conducts research and analysis using data to support academic or scientific inquiries. They contribute to research projects and publish findings.,"Data analysis techniques Research methodologies Data collection and interpretation Statistical analysis software (e.g., R, Python) Data visualization tools (e.g., Tableau, Power BI) Research report writing Critical thinking Problem-solving Communication skills Attention to detail",$57K-$88K,3 to 13 Years,Dakar,Senegal,Part-Time,"Fidelity Investments, Inc.",2022-09-23,"communication, critical thinking, python, tableau, data visualization, data analysis, problem solving",7,3,Data & Analytics,1,Data & Business Analytics
Network Technician,"Network Support Specialists provide technical support for computer networks. They troubleshoot issues, maintain network infrastructure, and ensure reliable network performance.",Network troubleshooting IT support Network configuration Technical knowledge Problem-solving,$64K-$86K,5 to 14 Years,San Juan,Puerto Rico,Temporary,Starbucks,2022-05-19,"infrastructure, problem solving",2,4,Network & Security,4,Network & Security
Market Analyst,Competitive Intelligence Analysts gather data on competitors and industry trends. They analyze information to help businesses make informed decisions and gain a competitive edge.,Competitive analysis Market research Data analysis Business strategy Industry knowledge,$63K-$95K,1 to 10 Years,Santo Domingo,Dominican Republic,Intern,Autoliv,2022-12-28,data analysis,1,3,Data & Analytics,1,Data & Business Analytics
Mechanical Designer,"Design and develop innovative products, from concept to production, ensuring usability, functionality, and aesthetics.","Product design principles Prototyping and wireframing User research User testing UI/UX design 3D modeling (if applicable) Collaboration Problem-solving Creativity Attention to detail Communication skills Software proficiency (e.g., Sketch, Adobe XD)",$64K-$109K,5 to 10 Years,Belgrade,Serbia,Intern,Geely Automobile Holdings,2021-12-15,"communication, wireframing, adobe, collaboration, sketch, problem solving, prototyping, user research, creativity",9,2,Marketing & Architecture,0,Engineering & Systems
Network Security Specialist,"A Security Consultant is responsible for assessing an organizations security infrastructure, identifying vulnerabilities, and recommending solutions to enhance security. They conduct risk assessments, implement security measures, and provide guidance on security policies and procedures.",Security consulting Risk assessment Security audits Security policy development Penetration testing Client communication,$57K-$83K,0 to 10 Years,Kyiv (also known as Kiev),Ukraine,Contract,"Dr. Pepper Snapple Group, Inc.",2022-04-06,"communication, penetration testing, infrastructure, vulnerability, security",5,4,Network & Security,4,Network & Security
IT Support Specialist,"IT Systems Administrators manage and maintain an organizations IT infrastructure, including servers, networks, and security systems.",Network administration System and server maintenance Cybersecurity knowledge Backup and recovery IT project management skills,$62K-$83K,0 to 13 Years,Mexico City,Mexico,Contract,Rightmove,2022-10-05,"network administration, cybersecurity, infrastructure, project management, network security, security",6,4,Network & Security,4,Network & Security
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$56K-$88K,5 to 12 Years,Yaren District (de facto),Nauru,Part-Time,B&M,2021-11-19,"prototyping, wireframing, user experience",3,0,Design & UI/UX,5,Testing & Performance
Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge",$59K-$98K,0 to 8 Years,Tehran,"Iran, Islamic Rep.",Intern,Intercontinental Exchange,2022-05-13,"communication, aws, infrastructure, azure, collaboration, cloud, security, problem solving, system administration",9,4,Network & Security,4,Network & Security
Financial Analyst,"Budget Analysts manage and analyze financial data to develop, monitor, and report on budgets. They work with departments to ensure budget compliance, identify cost-saving opportunities, and provide financial insights to support strategic planning and decision-making.",Budget planning Financial forecasting Excel proficiency Data analysis,$59K-$91K,5 to 11 Years,Tripoli,Libya,Part-Time,Glencore,2022-02-09,"excel, data analysis, compliance",3,3,Data & Analytics,1,Data & Business Analytics
Web Designer,"Frontend Web Designers create the visual elements and user interfaces of websites. They use HTML, CSS, and JavaScript to design responsive, user-friendly web pages, ensuring a seamless and visually appealing online experience.",Frontend web development HTML/CSS Responsive design User interface (UI) design Adobe Creative Suite Collaboration skills,$65K-$126K,4 to 15 Years,Quito,Ecuador,Intern,TPG Telecom,2022-09-02,"frontend, javascript, user interface, adobe, collaboration, web development, html",7,0,Design & UI/UX,3,UI/UX Design
Landscape Designer,"Commercial Landscape Architects design outdoor spaces for commercial properties, such as office complexes and retail centers. They create functional and aesthetically pleasing landscapes that align with the clients goals and needs.",Landscape architecture Site planning Plant selection Environmental sustainability AutoCAD Project management,$63K-$85K,2 to 12 Years,Conakry,Guinea,Contract,Insight Enterprises,2021-10-01,project management,1,2,Marketing & Architecture,2,Application Development
Civil Engineer,"A Water Resources Engineer manages and develops water-related projects, such as dams, irrigation systems, and flood control measures, to ensure water resource sustainability.",Water resources engineering Hydrology and hydraulics Environmental impact assessment Water resource modeling software Watershed management,$65K-$103K,0 to 9 Years,Oranjestad,Aruba,Intern,Royal Mail,2022-03-20,,0,2,Marketing & Architecture,0,Engineering & Systems
Supply Chain Analyst,"A Logistics Analyst analyzes and optimizes logistics and supply chain operations, identifying cost-saving opportunities, improving transportation efficiency, and enhancing supply chain performance.",Supply chain analysis Data analytics Inventory management Transportation planning Problem-solving,$55K-$108K,3 to 14 Years,"Capitol Hill, Saipan",Northern Mariana Islands,Full-Time,Public Service Enterprise Group,2023-03-23,"analytics, problem solving",2,2,Marketing & Architecture,5,Testing & Performance
Network Administrator,"Protect an organizations computer networks and systems from security threats, monitor network traffic, and respond to incidents.",Network security protocols Intrusion detection and prevention Security incident response Firewall administration Vulnerability assessment Security policies and procedures Log analysis Ethical hacking Problem-solving Communication skills Attention to detail,$63K-$83K,0 to 14 Years,Stockholm,Sweden,Intern,Landstar System,2021-11-08,"communication, incident response, firewall, ethical hacking, network security, vulnerability, security, problem solving",8,4,Network & Security,4,Network & Security
Business Analyst,"Data Business Analysts focus on data-related projects. They collect and analyze data, identify trends, and provide insights to support data-driven decision-making within the organization.","Data analysis Data modeling Data visualization SQL Data tools (e.g., Tableau)",$62K-$110K,1 to 10 Years,Sri Jayawardenepura Kotte,Sri Lanka,Temporary,William Hill plc,2022-12-30,"sql, data modeling, tableau, data visualization, data analysis",5,3,Data & Analytics,1,Data & Business Analytics
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$58K-$112K,2 to 11 Years,Tirana,Albania,Intern,Lloyds Banking Group,2022-12-31,"wireframing, sketch, prototyping, user research, adobe",5,0,Design & UI/UX,5,Testing & Performance
Landscape Architect,Create aesthetically pleasing and functional landscape designs for residential properties.,Landscape design Plant selection and care Hardscape design,$57K-$100K,4 to 14 Years,"Capitol Hill, Saipan",Northern Mariana Islands,Intern,Scottish Mortgage Investment Trust,2022-05-02,,0,2,Marketing & Architecture,2,Application Development
Financial Analyst,"Financial Planners help clients achieve their financial goals by providing personalized financial advice and investment strategies. They assess clients financial situations, develop financial plans, and offer recommendations on savings, investments, and retirement planning.",Financial planning Investment strategy Retirement planning Tax knowledge,$58K-$102K,1 to 11 Years,Berlin,Germany,Temporary,Hilton Worldwide Holdings,2022-05-31,,0,3,Data & Analytics,1,Data & Business Analytics
Electrical Engineer,"Power Systems Engineers design and maintain electrical power systems. They work on generation, transmission, and distribution of electrical power, focusing on safety and efficiency.",Electrical engineering Power system analysis Renewable energy systems Control systems Safety regulations,$56K-$103K,3 to 12 Years,Windhoek,Namibia,Temporary,Intercontinental Exchange,2022-06-10,,0,2,Marketing & Architecture,0,Engineering & Systems
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$57K-$102K,0 to 11 Years,Saint George's,Grenada,Intern,SSE plc,2023-05-12,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving",8,3,Data & Analytics,1,Data & Business Analytics
Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",$55K-$89K,0 to 13 Years,Mbabane,Eswatini,Contract,Drax Group,2022-05-01,"frontend, backend, javascript, user interface, angular, react, html",7,0,Design & UI/UX,3,UI/UX Design
Database Developer,"SQL Database Developers design, implement, and maintain relational databases using SQL (Structured Query Language). They write queries, optimize database performance, and ensure data integrity and security.",SQL (Structured Query Language) Database design Query optimization Data modeling Database maintenance Problem-solving skills,$57K-$89K,4 to 12 Years,Kampala,Uganda,Contract,Yum China Holdings,2022-06-17,"database, sql, data modeling, security, problem solving",5,5,Database & Systems,4,Network & Security
