title,description,skills,salary,experience,qualification,location,country,work_type,company,date_posted,role,description_clean,skills_clean,title_clean,extracted_skills,desc_skills,all_skills,skill_count,all_skills_str
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$65K-$121K,2 to 15 Years,B.Com,ReykjavÃ­k,Iceland,Temporary,Halliburton,2022-01-20,Market Researcher,market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision,market research methodology data collection analysis industry,market research analyst,[],[],[],0,
QA Analyst,"Performance Testing Specialists assess the performance of software applications by conducting load, stress, and scalability tests. They identify bottlenecks, optimize performance, and ensure software can handle user demands effectively.",Performance testing Load testing Stress testing Test scenarios Performance monitoring Benchmarking Performance analysis,$58K-$84K,1 to 8 Years,MBA,Philipsburg,Sint Maarten (Dutch part),Part-Time,Hochschild Mining,2023-01-29,Performance Testing Specialist,performance testing specialist assess performance software application conducting load stress scalability test identify bottleneck optimize performance ensure software handle user demand effectively,performance testing load testing stress testing test scenario performance monitoring benchmarking performance analysis,qa analyst,[],[],[],0,
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$55K-$93K,1 to 12 Years,MBA,Saint John's,Antigua and Barbuda,Contract,C.H. Robinson Worldwide,2023-06-20,Quality Control Analyst,quality control analyst responsible inspecting testing product ensure meet quality standard specification use quality control tool process identify defect document finding recommend improvement essential maintaining product quality customer satisfaction,quality control quality assurance testing method compliance standard root cause analysis documentation statistical analysis,chemical analyst,"['documentation', 'compliance']",[],"['documentation', 'compliance']",2,"documentation, compliance"
UX/UI Designer,"User Interface Designers focus on the visual and interactive aspects of digital interfaces. They design layouts, buttons, and other elements to ensure a cohesive and visually appealing user interface.","UI design principles and best practices Graphic design tools (e.g., Adobe Photoshop, Illustrator) Typography and color theory Visual design and layout Responsive design",$59K-$95K,0 to 11 Years,B.Com,Tripoli,Libya,Part-Time,Coupang,2022-04-19,User Interface Designer,user interface designer focus visual interactive aspect digital interface design layout button element ensure cohesive visually appealing user interface,design principle best practice graphic design tool adobe photoshop illustrator typography color theory visual design layout responsive design,ux/ui designer,"['illustrator', 'graphic design', 'adobe', 'photoshop']",['user interface'],"['graphic design', 'user interface', 'photoshop', 'adobe', 'illustrator']",5,"graphic design, user interface, photoshop, adobe, illustrator"
Investment Analyst,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,$58K-$81K,5 to 8 Years,BA,AsunciÃ³n,Paraguay,Full-Time,DTE Energy,2022-02-10,Portfolio Manager,portfolio manager oversees investment portfolio making decision maximize return minimize risk analyze financial market adjust asset allocation accordingly,investment management financial analysis risk assessment asset allocation portfolio optimization,investment analyst,[],[],[],0,
Software Tester,"A Quality Assurance Analyst tests software and products to ensure they meet quality standards. They identify defects, report issues, and work with development teams to resolve problems.","Quality assurance processes Testing methodologies (e.g., manual, automated) Bug tracking and reporting Test case development Regression testing",$62K-$129K,0 to 13 Years,B.Tech,Lisbon,Portugal,Part-Time,CF Industries Holdings,2022-07-18,Quality Assurance Analyst,quality assurance analyst test software product ensure meet quality standard identify defect report issue work development team resolve problem,quality assurance process testing methodology manual automated bug tracking reporting test case development regression testing,software tester,"['reporting', 'regression']",[],"['reporting', 'regression']",2,"reporting, regression"
Digital Marketing Specialist,"SEO Specialists optimize websites for search engines to improve online visibility. They conduct keyword research, optimize content, and implement SEO strategies to increase organic traffic and rankings.","Search engine algorithms and ranking factors Keyword research and analysis On-page and off-page SEO optimization SEO tools (e.g., Google Analytics, SEMrush) SEO content strategy",$62K-$107K,5 to 10 Years,MBA,Wellington,New Zealand,Full-Time,PepsiCo,2022-03-12,SEO Specialist,seo specialist optimize website search engine improve online visibility conduct keyword research optimize content implement seo strategy increase organic traffic ranking,search engine algorithm ranking factor keyword research analysis page page seo optimization seo tool google analytics semrush seo content strategy,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Product Designer,"An Industrial Designer creates and improves product designs, focusing on aesthetics, functionality, and user experience to produce innovative and marketable products.",Industrial design principles CAD and 3D modeling Prototyping and testing,$59K-$120K,4 to 11 Years,M.Tech,Naypyidaw,Myanmar,Full-Time,Robert Half International,2023-01-16,Industrial Designer,industrial designer creates improves product design focusing aesthetic functionality user produce innovative marketable product,industrial design principle cad modeling prototyping testing,product designer,['prototyping'],[],['prototyping'],1,prototyping
Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge",$60K-$122K,2 to 15 Years,B.Tech,Sofia,Bulgaria,Temporary,Travis Perkins,2021-09-26,Systems Administrator,manage maintain organization infrastructure including server hardware software system,system administration server maintenance active directory backup recovery cloud computing aws azure troubleshooting security best practice collaboration problem solving attention detail communication skill technical,network administrator,"['communication', 'aws', 'azure', 'collaboration', 'cloud', 'security', 'problem solving', 'system administration']",['infrastructure'],"['communication', 'aws', 'infrastructure', 'azure', 'collaboration', 'cloud', 'security', 'problem solving', 'system administration']",9,"communication, aws, infrastructure, azure, collaboration, cloud, security, problem solving, system administration"
Software Engineer,"A Frontend Developer is responsible for designing and implementing user interfaces for web applications. They collaborate with designers to create visually appealing and responsive web pages, ensuring a seamless user experience across different devices and browsers.","Proficiency in HTML, CSS, and JavaScript Experience with frontend frameworks like React, Angular, or Vue.js Responsive web design Cross-browser compatibility Version control (e.g., Git) Frontend performance optimization",$63K-$109K,5 to 14 Years,MBA,Valletta,Malta,Temporary,Darden Restaurants,2023-01-11,Frontend Developer,frontend developer responsible designing implementing user interface web application collaborate designer create visually appealing responsive web page ensuring seamless user across different device browser,proficiency html cs javascript frontend framework like react angular vue responsive web design cross browser compatibility version control git frontend performance optimization,software engineer,"['frontend', 'javascript', 'git', 'vue', 'angular', 'react', 'html']","['frontend', 'user interface']","['frontend', 'javascript', 'user interface', 'git', 'vue', 'angular', 'react', 'html']",8,"frontend, javascript, user interface, git, vue, angular, react, html"
Investment Analyst,"A Portfolio Manager oversees investment portfolios, making decisions to maximize returns and minimize risks. They analyze financial markets and adjust asset allocations accordingly.",Investment management Financial analysis Risk assessment Asset allocation Portfolio optimization,$65K-$121K,3 to 13 Years,M.Com,Majuro,Marshall Islands,Part-Time,Chesapeake Energy,2022-04-02,Portfolio Manager,portfolio manager oversees investment portfolio making decision maximize return minimize risk analyze financial market adjust asset allocation accordingly,investment management financial analysis risk assessment asset allocation portfolio optimization,investment analyst,[],[],[],0,
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,$62K-$113K,4 to 8 Years,BCA,Vienna,Austria,Intern,BorgWarner,2022-05-12,Electrical Engineer,electrical engineer design develop electrical system device work project power generation electronics control system various industry,electrical engineering circuit design electronics autocad proficiency problem solving,electrical designer,['problem solving'],[],['problem solving'],1,problem solving
Inventory Analyst,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,$61K-$122K,5 to 10 Years,M.Tech,Gaza,West Bank and Gaza,Temporary,Marathon Oil,2022-10-04,Inventory Control Specialist,inventory control specialist manage optimize inventory level business track stock monitor demand implement inventory control procedure ensure efficient operation minimize carrying cost,inventory management stock control demand forecasting inventory tracking system supply chain coordination problem solving skill,inventory analyst,['problem solving'],[],['problem solving'],1,problem solving
Network Administrator,"Design, implement, and maintain computer networks, troubleshoot network issues, and ensure network performance and security.","Network infrastructure design Routing and switching Network protocols (e.g., TCP/IP) Cisco or Juniper certifications Troubleshooting and diagnostics Security protocols Wireless networking Network monitoring Collaboration Problem-solving Attention to detail",$63K-$122K,0 to 15 Years,M.Com,Port Moresby,Papua New Guinea,Part-Time,Croda International,2022-11-09,Network Engineer,design implement maintain computer network troubleshoot network issue ensure network performance security,network infrastructure design routing switching network protocol tcp cisco juniper certification troubleshooting diagnostics security protocol wireless networking network monitoring collaboration problem solving attention detail,network administrator,"['network monitoring', 'cisco', 'infrastructure', 'security', 'switching', 'routing', 'collaboration', 'wireless', 'networking', 'problem solving']",['security'],"['network monitoring', 'cisco', 'infrastructure', 'switching', 'routing', 'collaboration', 'wireless', 'networking', 'security', 'problem solving']",10,"network monitoring, cisco, infrastructure, switching, routing, collaboration, wireless, networking, security, problem solving"
Electrical Designer,"Lighting Designers create lighting plans for architectural and artistic purposes. They enhance spaces with lighting effects, aesthetics, and energy-efficient lighting solutions.",Lighting design Architectural lighting Lighting software proficiency Creative lighting concepts Technical knowledge,$65K-$96K,0 to 11 Years,BCA,Basseterre,St. Kitts and Nevis,Temporary,InterContinental Hotels Group,2023-08-03,Lighting Designer,lighting designer create lighting plan architectural artistic purpose enhance space lighting effect aesthetic energy efficient lighting solution,lighting design architectural lighting lighting software proficiency creative lighting concept technical,electrical designer,[],[],[],0,
Architectural Designer,"Interior Designers plan and design interior spaces to meet the functional and aesthetic needs of clients. They select furniture, colors, materials, and layouts to create visually appealing and functional interiors for homes and businesses.","Interior design Space planning Color theory Material selection CAD software (e.g., SketchUp) Client collaboration Budget management",$64K-$107K,4 to 13 Years,B.Tech,Paris,France,Part-Time,Verizon Communications,2021-09-16,Interior Designer,interior designer plan design interior space meet functional aesthetic need client select furniture color material layout create visually appealing functional interior home business,interior design space planning color theory material selection cad software sketchup client collaboration budget management,architectural designer,"['collaboration', 'budget management']",[],"['collaboration', 'budget management']",2,"collaboration, budget management"
Aerospace Engineer,"Aircraft Design Engineers design and develop aircraft systems and structures. They work on aircraft components, propulsion systems, and aerodynamics to ensure safety and efficiency.","Aerospace engineering CAD software (e.g., AutoCAD) Aerodynamics Structural analysis Aircraft systems Safety regulations",$58K-$95K,4 to 11 Years,B.Tech,Rabat,Morocco,Part-Time,Wells Fargo,2022-03-20,Aircraft Design Engineer,aircraft design engineer design develop aircraft system structure work aircraft component propulsion system aerodynamics ensure safety efficiency,aerospace engineering cad software autocad aerodynamics structural analysis aircraft system safety regulation,aerospace engineer,[],[],[],0,
Network Security Specialist,"SOC Analysts work in security operations centers. They monitor and respond to security incidents, analyze threats, and implement security protocols to protect an organizations assets.","SOC operations Security incident response Threat detection Log analysis Security tools (e.g., IDS/IPS) Security alerts triage",$60K-$100K,1 to 10 Years,BBA,Dushanbe,Tajikistan,Part-Time,Tencent Holdings,2022-10-28,Security Operations Center (SOC) Analyst,soc analyst work security operation center monitor respond security incident analyze threat implement security protocol protect organization asset,soc operation security incident response threat detection log analysis security tool id ip security alert triage,network security specialist,"['soc', 'incident response', 'security']","['soc', 'security']","['soc', 'incident response', 'security']",3,"soc, incident response, security"
Inventory Analyst,"Inventory Control Specialists manage and optimize inventory levels in a business. They track stock, monitor demand, and implement inventory control procedures to ensure efficient operations and minimize carrying costs.",Inventory management Stock control Demand forecasting Inventory tracking systems Supply chain coordination Problem-solving skills,$57K-$116K,3 to 10 Years,PhD,Kingston,Jamaica,Contract,Ford Motor,2023-06-23,Inventory Control Specialist,inventory control specialist manage optimize inventory level business track stock monitor demand implement inventory control procedure ensure efficient operation minimize carrying cost,inventory management stock control demand forecasting inventory tracking system supply chain coordination problem solving skill,inventory analyst,['problem solving'],[],['problem solving'],1,problem solving
Marketing Analyst,"Analyze data sets, generate insights, and provide data-driven recommendations to inform business decisions.","Data analysis tools (e.g., SQL, Python) Data visualization tools (e.g., Tableau, Power BI) Statistical analysis Data cleansing and transformation Data modeling Communication of data insights Problem-solving Attention to detail Business acumen",$57K-$81K,1 to 10 Years,MBA,Amman,Jordan,Full-Time,Humana,2022-02-10,Data Analyst,analyze data set generate insight provide data driven recommendation inform business decision,data analysis tool sql python data visualization tool tableau power statistical analysis data cleansing transformation data modeling communication data insight problem solving attention detail business acumen,marketing analyst,"['communication', 'data modeling', 'sql', 'tableau', 'problem solving', 'data visualization', 'data analysis', 'python']",[],"['communication', 'sql', 'data modeling', 'python', 'tableau', 'data visualization', 'data analysis', 'problem solving']",8,"communication, sql, data modeling, python, tableau, data visualization, data analysis, problem solving"
UI Developer,A Front-End Developer specializes in creating the user interface and user experience of websites or applications. They code and design elements that users interact with directly.,"Front-end web development HTML, CSS, JavaScript Responsive design Web performance optimization Cross-browser compatibility",$59K-$95K,0 to 13 Years,M.Tech,Tripoli,Libya,Intern,Walmart,2022-11-23,Front-End Developer,front end developer specializes creating user interface user website application code design element user interact directly,front end web development html cs javascript responsive design web performance optimization cross browser compatibility,ui developer,"['html', 'javascript', 'web development']",['user interface'],"['user interface', 'html', 'javascript', 'web development']",4,"user interface, html, javascript, web development"
IT Manager,"An IT Director oversees an organizations IT department and technology infrastructure. They develop IT strategies, manage budgets, and ensure IT systems support business objectives.",Strategic IT planning Leadership and management Budgeting and financial management IT governance and compliance Vendor management Cybersecurity and risk management Project management Cloud computing Network infrastructure Enterprise software systems,$57K-$95K,4 to 9 Years,MCA,Niamey,Niger,Temporary,Group 1 Automotive,2023-04-27,IT Director,director oversees organization department technology infrastructure develop strategy manage budget ensure system support business objective,strategic planning leadership management budgeting financial management governance compliance vendor management cybersecurity risk management project management cloud computing network infrastructure enterprise software system,it manager,"['compliance', 'cybersecurity', 'infrastructure', 'project management', 'leadership', 'risk management', 'cloud']",['infrastructure'],"['compliance', 'cybersecurity', 'infrastructure', 'project management', 'leadership', 'risk management', 'cloud']",7,"compliance, cybersecurity, infrastructure, project management, leadership, risk management, cloud"
Market Research Analyst,"A Market Researcher gathers and analyzes market data to provide insights on consumer behavior, market trends, and competitor activities, aiding in informed business decisions.",Market research methodologies Data collection and analysis Industry knowledge,$63K-$99K,2 to 9 Years,MBA,Rabat,Morocco,Temporary,Broadcom,2022-03-24,Market Researcher,market researcher gather analyzes market data provide insight consumer behavior market trend competitor activity aiding informed business decision,market research methodology data collection analysis industry,market research analyst,[],[],[],0,
UX/UI Designer,"User Experience Designers create intuitive and user-friendly digital interfaces. They conduct user research, design prototypes, and work to enhance the overall user experience of websites and applications.","User-centered design principles UX/UI design tools (e.g., Sketch, Adobe XD) Wireframing and prototyping Usability testing and user research Information architecture and user flows",$61K-$108K,3 to 10 Years,BCA,San Marino,San Marino,Intern,E.ON SE,2022-02-26,User Experience Designer,user designer create intuitive user friendly digital interface conduct user research design prototype work enhance overall user website application,user centered design principle design tool sketch adobe wireframing prototyping usability testing user research information architecture user flow,ux/ui designer,"['wireframing', 'sketch', 'prototyping', 'user research', 'adobe']",['user research'],"['wireframing', 'sketch', 'prototyping', 'user research', 'adobe']",5,"wireframing, sketch, prototyping, user research, adobe"
Systems Analyst,"A Business Systems Analyst analyzes business processes and requirements, recommends technology solutions, and bridges the gap between business objectives and IT systems.",Business systems analysis Requirements gathering Process improvement,$58K-$103K,5 to 8 Years,B.Tech,City of Baghdad,Iraq,Contract,Mosaic,2022-04-11,Business Systems Analyst,business system analyst analyzes business process recommends technology solution bridge gap business objective system,business system analysis gathering process improvement,systems analyst,[],[],[],0,
IT Support Specialist,"Desktop Support Technicians troubleshoot and maintain desktop computer systems, resolving hardware and software problems for users.","Desktop hardware and software troubleshooting Operating system expertise (e.g., Windows, macOS) Remote desktop support Hardware and software upgrades Customer service skills",$55K-$108K,2 to 10 Years,BCA,Hagatna,Guam,Contract,Kroger,2023-02-05,Desktop Support Technician,desktop support technician troubleshoot maintain desktop computer system resolving hardware software problem user,desktop hardware software troubleshooting operating system expertise window macos remote desktop support hardware software upgrade customer service skill,it support specialist,[],[],[],0,
Financial Analyst,"Financial Planners help clients achieve their financial goals by providing personalized financial advice and investment strategies. They assess clients financial situations, develop financial plans, and offer recommendations on savings, investments, and retirement planning.",Financial planning Investment strategy Retirement planning Tax knowledge,$65K-$125K,5 to 9 Years,M.Tech,Bandar Seri Begawan,Brunei,Part-Time,Mutual of Omaha Insurance,2022-05-22,Financial Planner,financial planner help client achieve financial goal providing personalized financial advice investment strategy assess client financial situation develop financial plan offer recommendation saving investment retirement planning,financial planning investment strategy retirement planning tax,financial analyst,[],[],[],0,
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$59K-$99K,5 to 15 Years,M.Com,Port Vila,Vanuatu,Temporary,Exelon,2022-12-16,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Electrical Designer,"Electrical Engineers design and develop electrical systems and devices. They work on projects such as power generation, electronics, and control systems for various industries.",Electrical engineering Circuit design Electronics AutoCAD proficiency Problem-solving,$63K-$101K,1 to 14 Years,PhD,Vaduz,Liechtenstein,Intern,Deutsche Bank AG,2023-01-29,Electrical Engineer,electrical engineer design develop electrical system device work project power generation electronics control system various industry,electrical engineering circuit design electronics autocad proficiency problem solving,electrical designer,['problem solving'],[],['problem solving'],1,problem solving
Database Administrator,A Database Security Specialist focuses on protecting databases from unauthorized access and data breaches. They implement security measures and ensure compliance with regulations.,Database security measures Data encryption and access control Security compliance Vulnerability assessment Database auditing and monitoring,$64K-$122K,5 to 15 Years,PhD,Tunis,Tunisia,Full-Time,Fluor,2022-08-11,Database Security Specialist,database security specialist focus protecting database unauthorized access data breach implement security measure ensure compliance regulation,database security measure data encryption access control security compliance vulnerability assessment database auditing monitoring,database administrator,"['compliance', 'database', 'encryption', 'vulnerability', 'security']","['database', 'security', 'compliance']","['compliance', 'database', 'encryption', 'vulnerability', 'security']",5,"compliance, database, encryption, vulnerability, security"
Architect,"Architectural Designers create architectural plans and designs for buildings and structures, considering aesthetics, functionality, and safety standards.","Architectural design software (e.g., AutoCAD, Revit) Building codes and regulations 3D modeling Visualization Sustainable design",$56K-$121K,0 to 15 Years,M.Com,Bandar Seri Begawan,Brunei,Intern,Lufthansa Group,2021-11-18,Architectural Designer,architectural designer create architectural plan design building structure considering aesthetic functionality safety standard,architectural design software autocad revit building code regulation modeling visualization sustainable design,architect,[],[],[],0,
Network Engineer,"Network Administrators manage an organizations computer networks. They configure, monitor, and maintain network infrastructure, ensuring optimal performance and security.","Network management Troubleshooting Network security IT certifications (e.g., CCNA)",$61K-$84K,2 to 11 Years,MBA,Canberra,Australia,Part-Time,Genuine Parts,2022-02-13,Network Administrator,network administrator manage organization computer network configure monitor maintain network infrastructure ensuring optimal performance security,network management troubleshooting network security certification ccna,network engineer,"['security', 'network security']","['infrastructure', 'security']","['infrastructure', 'security', 'network security']",3,"infrastructure, security, network security"
Web Developer,"Frontend Web Developers design and implement user interfaces for websites, ensuring they are visually appealing and user-friendly. They collaborate with designers and backend developers to create seamless web experiences for users.","HTML, CSS, JavaScript Frontend frameworks (e.g., React, Angular) User experience (UX)",$62K-$117K,3 to 14 Years,BBA,Copenhagen,Denmark,Temporary,Baidu,2023-09-07,Frontend Web Developer,frontend web developer design implement user interface website ensuring visually appealing user friendly collaborate designer backend developer create seamless web experience user,html cs javascript frontend framework react angular user,web developer,"['frontend', 'javascript', 'angular', 'react', 'html']","['frontend', 'backend', 'user interface']","['frontend', 'backend', 'javascript', 'user interface', 'angular', 'react', 'html']",7,"frontend, backend, javascript, user interface, angular, react, html"
UX/UI Designer,Interaction Designers specialize in designing user interactions within digital interfaces. They create meaningful and engaging user experiences by considering user behaviors and system responses.,Interaction design principles User behavior and psychology Wireframing and prototyping tools Animation and micro-interaction design Collaborative design processes,$61K-$118K,3 to 14 Years,PhD,Gaza,West Bank and Gaza,Full-Time,Western Union Company,2021-11-17,Interaction Designer,interaction designer specialize designing user interaction within digital interface create meaningful engaging user experience considering user behavior system response,interaction design principle user behavior psychology wireframing prototyping tool animation micro interaction design collaborative design process,ux/ui designer,"['prototyping', 'wireframing']",['user experience'],"['prototyping', 'wireframing', 'user experience']",3,"prototyping, wireframing, user experience"
Chemical Engineer,"Optimize manufacturing processes, improve efficiency, and ensure product quality in industrial settings.",Process optimization Manufacturing processes Lean Six Sigma methodologies Data analysis Statistical process control Quality management Root cause analysis Collaboration Problem-solving Attention to detail Technical knowledge,$60K-$128K,1 to 8 Years,BBA,Sucre (de jure),Bolivia,Full-Time,Derwent London,2022-01-31,Process Engineer,optimize manufacturing process improve efficiency ensure product quality industrial setting,process optimization manufacturing process lean six sigma methodology data analysis statistical process control quality management root cause analysis collaboration problem solving attention detail technical,chemical engineer,"['collaboration', 'data analysis', 'problem solving']",[],"['collaboration', 'data analysis', 'problem solving']",3,"collaboration, data analysis, problem solving"
Network Administrator,"Manage and maintain an organizations IT infrastructure, including servers, hardware, and software systems.","System administration Server maintenance Active Directory Backup and recovery Cloud computing (e.g., AWS, Azure) Troubleshooting IT security best practices Collaboration Problem-solving Attention to detail Communication skills Technical knowledge",$65K-$127K,4 to 12 Years,B.Tech,Torshavn,Faroe Islands,Contract,Indian Oil Corporation,2021-11-11,Systems Administrator,manage maintain organization infrastructure including server hardware software system,system administration server maintenance active directory backup recovery cloud computing aws azure troubleshooting security best practice collaboration problem solving attention detail communication skill technical,network administrator,"['communication', 'aws', 'azure', 'collaboration', 'cloud', 'security', 'problem solving', 'system administration']",['infrastructure'],"['communication', 'aws', 'infrastructure', 'azure', 'collaboration', 'cloud', 'security', 'problem solving', 'system administration']",9,"communication, aws, infrastructure, azure, collaboration, cloud, security, problem solving, system administration"
Investment Analyst,A Risk Analyst assesses and manages financial risks within an organization. They use data analysis and modeling to evaluate potential risks and recommend mitigation strategies.,Risk assessment Data analysis Financial modeling Risk management tools Regulatory compliance knowledge,$62K-$108K,2 to 14 Years,B.Com,Yaounde,Cameroon,Contract,Textron,2022-06-30,Risk Analyst,risk analyst assesses manages financial risk within organization use data analysis modeling evaluate potential risk recommend mitigation strategy,risk assessment data analysis financial modeling risk management tool regulatory compliance,investment analyst,"['risk management', 'data analysis', 'compliance']",['data analysis'],"['data analysis', 'risk management', 'compliance']",3,"data analysis, risk management, compliance"
Systems Analyst,"An IT Analyst assesses and analyzes IT systems, identifying areas for improvement, implementing technology solutions, and providing technical support to users and departments.",IT systems analysis Troubleshooting IT support and documentation,$57K-$105K,2 to 9 Years,M.Com,Yerevan,Armenia,Contract,National Australia Bank (NAB),2023-03-02,IT Analyst,analyst assesses analyzes system identifying area improvement implementing technology solution providing technical support user department,system analysis troubleshooting support documentation,systems analyst,['documentation'],[],['documentation'],1,documentation
Systems Administrator,"IT Support Specialists provide technical assistance to end-users, troubleshooting hardware and software problems, setting up equipment, and maintaining IT infrastructure.",Technical troubleshooting Hardware and software support Customer service Problem-solving Communication,$64K-$106K,0 to 10 Years,M.Com,Nuku?alofa,Tonga,Contract,Micron Technology,2022-06-13,IT Support Specialist,support specialist provide technical assistance end user troubleshooting hardware software problem setting equipment maintaining infrastructure,technical troubleshooting hardware software support customer service problem solving communication,systems administrator,"['communication', 'problem solving']",['infrastructure'],"['infrastructure', 'communication', 'problem solving']",3,"infrastructure, communication, problem solving"
Front-End Engineer,"JavaScript Developers write code to create interactive and dynamic web applications. They use JavaScript libraries and frameworks to build client-side functionality, ensuring smooth user interactions and responsive web design.","JavaScript programming Frontend development Frontend frameworks (e.g., React, Angular) DOM manipulation AJAX Debugging and troubleshooting",$59K-$121K,2 to 9 Years,B.Com,Kingstown,St. Vincent and the Grenadines,Part-Time,Costco Wholesale,2022-06-29,JavaScript Developer,javascript developer write code create interactive dynamic web application use javascript library framework build client side functionality ensuring smooth user interaction responsive web design,javascript programming frontend development frontend framework react angular dom manipulation ajax debugging troubleshooting,front-end engineer,"['react', 'angular', 'javascript', 'frontend']",['javascript'],"['react', 'javascript', 'frontend', 'angular']",4,"react, javascript, frontend, angular"
Civil Engineer,"A Transportation Engineer plans and designs transportation systems, including roads, highways, and public transit. They aim to improve transportation efficiency and safety.","Transportation engineering Traffic analysis and planning Civil engineering software (e.g., MicroStation, AutoCAD Civil 3D) Roadway design Public transportation knowledge",$58K-$104K,0 to 12 Years,B.Tech,Caracas,"Venezuela, RB",Full-Time,Seaboard,2023-02-18,Transportation Engineer,transportation engineer plan design transportation system including road highway public transit aim improve transportation efficiency safety,transportation engineering traffic analysis planning civil engineering software microstation autocad civil roadway design public transportation,civil engineer,[],[],[],0,
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$58K-$105K,4 to 15 Years,MBA,Port-au-Prince,Haiti,Contract,Cisco Systems,2023-09-06,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Chemical Analyst,"In the role of a Quality Control Analyst, you will be responsible for inspecting and testing products to ensure they meet quality standards and specifications. You will use quality control tools and processes to identify defects, document findings, and recommend improvements. Your role is essential in maintaining product quality and customer satisfaction.",Quality control Quality assurance QC testing methods Compliance standards Root cause analysis Documentation Statistical analysis,$55K-$121K,1 to 8 Years,B.Tech,Saint John's,Antigua and Barbuda,Full-Time,Smith & Nephew,2022-11-18,Quality Control Analyst,quality control analyst responsible inspecting testing product ensure meet quality standard specification use quality control tool process identify defect document finding recommend improvement essential maintaining product quality customer satisfaction,quality control quality assurance testing method compliance standard root cause analysis documentation statistical analysis,chemical analyst,"['documentation', 'compliance']",[],"['documentation', 'compliance']",2,"documentation, compliance"
Digital Marketing Specialist,"Social Media Managers oversee an organizations social media presence. They create and schedule content, engage with followers, and analyze social media metrics to drive brand awareness and engagement.","Social media platforms (e.g., Facebook, Twitter, Instagram) Content creation and scheduling Social media analytics and insights Community engagement Paid social advertising",$55K-$130K,3 to 15 Years,BBA,Sanaa,Yemen,Contract,Broadcom,2022-09-18,Social Media Manager,social medium manager oversee organization social medium presence create schedule content engage follower analyze social medium metric drive brand awareness engagement,social medium platform facebook twitter instagram content creation scheduling social medium analytics insight community engagement paid social advertising,digital marketing specialist,['analytics'],[],['analytics'],1,analytics
Database Developer,"NoSQL Database Engineers work with non-relational databases to store and manage large volumes of unstructured or semi-structured data. They design data models, optimize database performance, and ensure scalability and data consistency.","NoSQL databases (e.g., MongoDB, Cassandra) Data modeling Data migration Performance tuning Scalability Distributed systems",$57K-$130K,4 to 8 Years,B.Tech,Gaza,West Bank and Gaza,Intern,Commerzbank AG,2023-05-12,NoSQL Database Engineer,nosql database engineer work non relational database store manage large volume unstructured semi structured data design data model optimize database performance ensure scalability data consistency,nosql database mongodb cassandra data modeling data migration performance tuning scalability distributed system,database developer,"['database', 'data modeling', 'cassandra', 'mongodb', 'nosql']","['database', 'nosql']","['database', 'data modeling', 'cassandra', 'mongodb', 'nosql']",5,"database, data modeling, cassandra, mongodb, nosql"
